Good Guy ID,Bank,Defense Level,Strategy,Last Action,Attack Count,Turns
98,1650.0,1,not_weakest,money,68,400
99,28.0,397,analyst,defense,5,400
100,10.0,0,copycat,money,225,400
101,10.0,0,copycat,money,282,400
102,30.0,133,one_two_one,money,6,400
103,660.0,1,not_weakest,money,102,400
104,1330.0,267,two_one_two,defense,3,400
105,130.0,1,not_weakest,money,60,400
106,330.0,1,not_weakest,money,9,400
107,8.0,399,late_planner,defense,4,400
108,10.0,399,be_strongest,defense,7,400
109,28.0,397,analyst,defense,3,400
110,10.0,0,copycat,money,251,400
111,1139.34,188,random,defense,6,400
112,10.0,399,be_strongest,defense,5,400
113,28.0,397,analyst,defense,11,400
114,28.0,397,analyst,defense,5,400
115,10.0,399,be_strongest,defense,4,400
116,1240.0,1,not_weakest,money,44,400
117,2104.0,186,random,money,927,400
118,10.0,0,copycat,money,197,400
119,90.0,133,one_two_one,money,37,400
120,28.0,397,analyst,defense,5,400
121,80.0,1,not_weakest,money,140,400
122,2000.0,200,random,defense,3,400
123,10.0,0,copycat,money,250,400
124,0.0,0,copycat,money,214,400
125,28.0,397,analyst,defense,5,400
126,1330.0,267,two_one_two,defense,5,400
127,447.0,192,random,money,2,400
128,650.0,1,copycat,money,164,400
129,1330.0,267,two_one_two,defense,3,400
130,153.0,205,random,defense,28,400
131,28.0,397,analyst,defense,5,400
132,10.0,399,be_strongest,defense,5,400
133,1760.0,1,not_weakest,money,30,400
134,480.0,133,one_two_one,money,30,400
135,140.0,196,random,money,23,400
136,10.0,0,copycat,money,274,400
137,7.2,399,late_planner,defense,7,400
138,28.0,397,analyst,defense,4,400
139,28.0,397,analyst,defense,6,400
140,290.0,198,random,money,47,400
141,28.0,397,analyst,defense,10,400
142,649.4000000000001,201,random,money,5,400
143,1330.0,267,two_one_two,defense,5,400
144,10.0,0,copycat,money,283,400
145,20.0,0,copycat,money,371,400
146,28.0,397,analyst,defense,8,400
147,10.0,399,be_strongest,defense,2,400
148,1753.376,200,random,money,6,400
149,1330.0,267,two_one_two,defense,5,400
150,390.0,1,not_weakest,money,43,400
151,8.0,399,late_planner,defense,8,400
152,1200.0,1,not_weakest,money,32,400
153,1330.0,267,two_one_two,defense,6,400
154,250.0,133,one_two_one,money,22,400
155,28.0,397,analyst,defense,6,400
156,28.0,397,analyst,defense,2,400
157,1330.0,267,two_one_two,defense,2,400
158,1556.0,194,random,defense,5,400
159,10.0,0,copycat,money,447,400
160,0.0,133,one_two_one,money,30,400
161,1330.0,267,two_one_two,defense,5,400
162,900.0,1,not_weakest,money,41,400
163,390.0,183,random,money,162,400
164,1310.437,200,random,defense,6,400
165,8.0,399,late_planner,defense,10,400
166,8.0,399,late_planner,defense,4,400
167,8.0,399,late_planner,defense,2,400
168,1200.0,133,one_two_one,money,17,400
169,1329.0,267,two_one_two,defense,4,400
170,370.0,133,one_two_one,money,25,400
171,80.0,190,random,money,222,400
172,130.0,198,random,defense,6,400
173,8.0,399,late_planner,defense,8,400
174,1974.0,196,random,defense,2,400
175,10.0,0,copycat,money,524,400
176,30.0,133,one_two_one,money,8,400
177,10.0,0,copycat,money,499,400
178,10.0,399,be_strongest,defense,4,400
179,8.0,399,late_planner,defense,4,400
180,8.0,399,late_planner,defense,3,400
181,8.0,399,late_planner,defense,2,400
182,1284.0,206,random,money,7,400
183,410.0,133,one_two_one,money,71,400
184,10.0,0,copycat,money,417,400
185,680.0,187,random,money,23,400
186,170.0,133,one_two_one,money,9,400
187,10,399,be_strongest,defense,0,400
188,10.0,399,be_strongest,defense,3,400
189,1330.0,267,two_one_two,defense,6,400
190,28.0,397,analyst,defense,5,400
191,1330.0,267,two_one_two,defense,3,400
192,28.0,397,analyst,defense,5,400
193,10.0,399,be_strongest,defense,3,400
194,10.0,0,copycat,money,431,400
195,7.2,399,late_planner,defense,10,400
196,160.0,1,not_weakest,money,28,400
197,8.0,399,late_planner,defense,7,400
198,10.0,0,copycat,money,329,400
199,10.0,399,be_strongest,defense,7,400
200,28.0,397,analyst,defense,8,400
201,290.0,1,not_weakest,money,8,400
202,8.0,399,late_planner,defense,6,400
203,600.0,1,not_weakest,money,7,400
204,8.0,399,late_planner,defense,7,400
205,28.0,397,analyst,defense,8,400
206,28.0,397,analyst,defense,4,400
207,30.0,1,not_weakest,money,25,400
208,110.0,1,copycat,money,17,400
209,28.0,397,analyst,defense,9,400
210,8.0,399,late_planner,defense,8,400
211,10.0,399,be_strongest,defense,3,400
212,8.0,399,late_planner,defense,5,400
213,1540.0,133,one_two_one,money,7,400
214,8.0,399,late_planner,defense,6,400
215,340.0,1,copycat,money,57,400
216,1330.0,267,two_one_two,defense,1,400
217,770.0,1,not_weakest,money,24,400
218,8.0,399,late_planner,defense,6,400
219,280.0,133,one_two_one,money,10,400
220,10.0,399,be_strongest,defense,6,400
221,1320.0,203,random,defense,5,400
222,28.0,397,analyst,defense,8,400
223,40.0,1,not_weakest,money,67,400
224,28.0,397,analyst,defense,2,400
225,28.0,397,analyst,defense,6,400
226,1480.0,1,not_weakest,money,12,400
227,70.0,1,not_weakest,money,15,400
228,28.0,397,analyst,defense,8,400
229,8.0,399,late_planner,defense,9,400
230,390.0,1,not_weakest,money,13,400
231,780.0,1,copycat,money,297,400
232,1330.0,267,two_one_two,defense,3,400
233,7.2,399,late_planner,defense,9,400
234,42.0,394,analyst,defense,3,400
235,10.0,399,be_strongest,defense,2,400
236,1349.9199999999998,198,random,money,3,400
237,110.0,1,not_weakest,money,42,400
238,42.0,394,analyst,defense,2,400
239,1842.8748799999998,133,one_two_one,money,6,400
240,1986.0,201,random,money,4,400
241,10.0,199,random,money,8,400
242,42.0,394,analyst,defense,4,400
243,16.0,398,late_planner,defense,6,400
244,16.0,398,late_planner,defense,6,400
245,650.0,183,random,money,5,400
246,760.0,202,random,money,33,400
247,10.0,399,be_strongest,defense,8,400
248,16.0,398,late_planner,defense,6,400
249,1920.0,133,one_two_one,money,4,400
250,16.0,398,late_planner,defense,8,400
251,690.0,1,not_weakest,money,12,400
252,1330.0,267,two_one_two,defense,8,400
253,240.0,133,one_two_one,money,34,400
254,16.0,398,late_planner,defense,4,400
255,10.0,0,copycat,money,166,400
256,16.0,398,late_planner,defense,2,400
257,16.0,398,late_planner,defense,7,400
258,42.0,394,analyst,defense,9,400
259,1330.0,267,two_one_two,defense,2,400
260,10.0,0,copycat,money,401,400
261,1050.0,1,not_weakest,money,29,400
262,10.0,399,be_strongest,defense,3,400
263,16.0,398,late_planner,defense,3,400
264,10.0,399,be_strongest,defense,8,400
265,1330.0,267,two_one_two,defense,6,400
266,710.0,133,one_two_one,money,103,400
267,1330.0,267,two_one_two,defense,6,400
268,30.0,395,analyst,defense,8,400
269,16.0,398,late_planner,defense,9,400
270,640.0,1,not_weakest,money,34,400
271,16.0,398,late_planner,defense,8,400
272,42.0,394,analyst,defense,7,400
273,1330.0,267,two_one_two,defense,1,400
274,530.0,1,copycat,money,114,400
275,240.0,133,one_two_one,money,52,400
276,720.0,1,not_weakest,money,13,400
277,16.0,398,late_planner,defense,6,400
278,1490.0,1,not_weakest,money,6,400
279,1240.0,1,not_weakest,money,8,400
280,1740.0,1,not_weakest,money,10,400
281,980.0,1,copycat,money,195,400
282,984.4,195,random,defense,14,400
283,1960.0,204,random,money,2,400
284,280.0,1,not_weakest,money,13,400
285,1330.0,267,two_one_two,defense,1,400
286,100.0,1,not_weakest,money,30,400
287,16.0,398,late_planner,defense,6,400
288,1326.0,267,two_one_two,defense,3,400
289,205.048,192,random,money,6,400
290,10.0,399,be_strongest,defense,6,400
291,16.0,398,late_planner,defense,5,400
292,790.0,133,one_two_one,money,31,400
293,1950.0,205,random,defense,3,400
294,1410.0,1,not_weakest,money,7,400
295,42.0,394,analyst,defense,6,400
296,10.0,399,be_strongest,defense,6,400
297,400.0,1,not_weakest,money,23,400
298,450.0,133,one_two_one,money,15,400
299,1330.0,267,two_one_two,defense,8,400
300,260.0,1,not_weakest,money,19,400
301,670.0,133,one_two_one,money,8,400
302,42.0,394,analyst,defense,4,400
303,1330.0,267,two_one_two,defense,2,400
304,42.0,394,analyst,defense,3,400
305,1330.0,267,two_one_two,defense,5,400
306,16.0,398,late_planner,defense,4,400
307,10.0,399,be_strongest,defense,4,400
308,16.0,398,late_planner,defense,9,400
309,384.5367999999999,193,random,defense,5,400
310,1330.0,267,two_one_two,defense,8,400
311,260.0,133,one_two_one,money,11,400
312,490.0,133,one_two_one,money,7,400
313,360.0,1,not_weakest,money,19,400
314,16.0,398,late_planner,defense,3,400
315,1330.0,267,two_one_two,defense,2,400
316,150.0,133,one_two_one,money,8,400
317,480.0,1,not_weakest,money,29,400
318,16.0,398,late_planner,defense,6,400
319,42.0,394,analyst,defense,10,400
320,42.0,394,analyst,defense,6,400
321,10.0,0,copycat,money,248,400
322,16.0,398,late_planner,defense,6,400
323,42.0,394,analyst,defense,10,400
324,1608.0,208,random,money,6,400
325,10.0,399,be_strongest,defense,5,400
326,14.4,398,late_planner,defense,7,400
327,90.0,133,one_two_one,money,9,400
328,150.0,133,one_two_one,money,8,400
329,120.0,133,one_two_one,money,18,400
330,10.0,0,copycat,money,285,400
331,190.0,133,one_two_one,money,9,400
332,29.0,397,analyst,defense,3,400
333,10.0,399,be_strongest,defense,4,400
334,16.0,398,late_planner,defense,5,400
335,10.0,399,be_strongest,defense,8,400
336,42.0,394,analyst,defense,5,400
337,24.0,396,analyst,defense,4,400
338,1330.0,267,two_one_two,defense,8,400
339,300.0,1,not_weakest,money,28,400
340,10.0,399,be_strongest,defense,3,400
341,10.0,0,copycat,money,178,400
342,11.2,398,late_planner,defense,11,400
343,100.0,191,random,defense,25,400
344,1497.5,212,random,defense,3,400
345,1330.0,267,two_one_two,defense,6,400
346,310.0,197,random,money,6,400
347,10.0,399,be_strongest,defense,6,400
348,1330.0,267,two_one_two,defense,2,400
349,10.0,399,be_strongest,defense,7,400
350,16.0,398,late_planner,defense,5,400
351,16.0,398,late_planner,defense,4,400
352,1720.0,1,copycat,money,62,400
353,28.0,397,analyst,defense,5,400
354,42.0,394,analyst,defense,3,400
355,42.0,394,analyst,defense,8,400
356,670.0,1,not_weakest,money,11,400
357,10.0,0,copycat,money,300,400
358,10.0,399,be_strongest,defense,5,400
359,1330.0,267,two_one_two,defense,6,400
360,10.0,399,be_strongest,defense,2,400
361,150.0,1,not_weakest,money,9,400
362,10.0,399,be_strongest,defense,5,400
363,1330.0,267,two_one_two,defense,7,400
364,1870.0,213,random,money,3,400
365,450.0,133,one_two_one,money,7,400
366,1470.0,1,not_weakest,money,6,400
367,570.0,133,one_two_one,money,38,400
368,40.0,133,one_two_one,money,18,400
369,10.0,0,copycat,money,197,400
370,850.0,1,not_weakest,money,9,400
371,10.0,0,copycat,money,202,400
372,42.0,394,analyst,defense,6,400
373,16.0,398,late_planner,defense,5,400
374,1012.745856,220,random,money,9,400
375,16.0,398,late_planner,defense,7,400
376,160.0,1,not_weakest,money,11,400
377,1330.0,267,two_one_two,defense,6,400
378,120.0,1,not_weakest,money,9,400
379,690.0,1,not_weakest,money,46,400
380,10.0,399,be_strongest,defense,4,400
381,1950.0,1,not_weakest,money,8,400
382,1330.0,267,two_one_two,defense,5,400
383,70.0,133,one_two_one,money,27,400
384,100.0,133,one_two_one,money,7,400
385,10.0,399,be_strongest,defense,6,400
386,1390.0,133,one_two_one,money,10,400
387,16.0,398,late_planner,defense,4,400
388,42.0,394,analyst,defense,10,400
389,10.0,399,be_strongest,defense,6,400
390,10.0,399,be_strongest,defense,7,400
391,440.0,133,one_two_one,money,10,400
392,42.0,394,analyst,defense,7,400
393,10.0,0,copycat,money,301,400
394,540.0,1,not_weakest,money,71,400
395,16.0,398,late_planner,defense,10,400
396,640.0,1,not_weakest,money,11,400
397,42.0,394,analyst,defense,3,400
398,42.0,394,analyst,defense,3,400
399,1330.0,267,two_one_two,defense,2,400
400,14.4,398,late_planner,defense,8,400
401,720.0,1,not_weakest,money,10,400
402,16.0,398,late_planner,defense,6,400
403,16.0,398,late_planner,defense,4,400
404,2150.0,1,not_weakest,money,6,400
405,16.0,398,late_planner,defense,4,400
406,42.0,394,analyst,defense,7,400
407,50.0,1,not_weakest,money,18,400
408,1085.9199999999998,201,random,defense,7,400
409,120.0,200,random,defense,309,400
410,1330.0,267,two_one_two,defense,1,400
411,1000.0,1,not_weakest,money,9,400
412,49.0,393,analyst,defense,5,400
413,49.0,393,analyst,defense,2,400
414,210.0,193,random,defense,6,400
415,1310.0,1,not_weakest,money,8,400
416,320.0,192,random,money,9,400
417,90.0,1,copycat,money,103,400
418,440.0,133,one_two_one,money,9,400
419,480.0,133,one_two_one,money,9,400
420,1330.0,267,two_one_two,defense,8,400
421,1330.0,267,two_one_two,defense,7,400
422,570.0,1,not_weakest,money,9,400
423,290.0,179,random,defense,3,400
424,230.0,133,one_two_one,money,10,400
425,14.4,398,late_planner,defense,6,400
426,1330.0,267,two_one_two,defense,3,400
427,49.0,393,analyst,defense,4,400
428,1921.0,204,random,defense,7,400
429,260.0,1,copycat,money,122,400
430,1190.0,180,random,defense,66,400
431,10.0,399,be_strongest,defense,4,400
432,10.0,399,be_strongest,defense,5,400
433,190.0,1,not_weakest,money,9,400
434,1330.0,267,two_one_two,defense,9,400
435,49.0,393,analyst,defense,5,400
436,1330.0,267,two_one_two,defense,7,400
437,10.0,399,be_strongest,defense,5,400
438,590.0,215,random,defense,5,400
439,16.0,398,late_planner,defense,3,400
440,10.0,399,be_strongest,defense,2,400
441,1328.0,267,two_one_two,defense,4,400
442,260.0,133,one_two_one,money,31,400
443,16.0,398,late_planner,defense,6,400
444,10.0,0,copycat,money,156,400
445,1330.0,267,two_one_two,defense,8,400
446,49.0,393,analyst,defense,6,400
447,1330.0,267,two_one_two,defense,8,400
448,70.0,133,one_two_one,money,14,400
449,150.0,133,one_two_one,money,13,400
450,16.0,398,late_planner,defense,6,400
451,49.0,393,analyst,defense,4,400
452,49.0,393,analyst,defense,2,400
453,1842.05568,133,one_two_one,money,6,400
454,1330.0,267,two_one_two,defense,9,400
455,44.1,393,analyst,defense,6,400
456,10.0,0,copycat,money,151,400
457,10.0,399,be_strongest,defense,7,400
458,1330,267,two_one_two,defense,0,400
459,49.0,393,analyst,defense,6,400
460,660.0,133,one_two_one,money,5,400
461,16.0,398,late_planner,defense,4,400
462,10.0,399,be_strongest,defense,7,400
463,8.0,399,late_planner,defense,6,400
464,39.2,393,analyst,defense,6,400
465,1386.0,214,random,money,3,400
466,10.0,0,copycat,money,212,400
467,1790.0,1,not_weakest,money,12,400
468,28.0,397,analyst,defense,4,400
469,10.0,399,be_strongest,defense,6,400
470,16.0,398,late_planner,defense,3,400
471,20.0,133,one_two_one,money,8,400
472,1330.0,267,two_one_two,defense,6,400
473,10.0,0,copycat,money,216,400
474,10.0,399,be_strongest,defense,4,400
475,190.0,1,not_weakest,money,49,400
476,1330.0,267,two_one_two,defense,1,400
477,490.0,191,random,money,7,400
478,49.0,393,analyst,defense,9,400
479,49.0,393,analyst,defense,8,400
480,10.0,399,be_strongest,defense,2,400
481,49.0,393,analyst,defense,3,400
482,10.0,399,be_strongest,defense,7,400
483,10.0,399,be_strongest,defense,2,400
484,1670.0,1,not_weakest,money,9,400
485,20.0,0,copycat,money,152,400
486,1160.0,133,one_two_one,money,5,400
487,1330.0,267,two_one_two,defense,5,400
488,580.0,133,one_two_one,money,11,400
489,21.0,397,late_planner,defense,2,400
490,200.0,133,one_two_one,money,6,400
491,27.782999999999998,393,analyst,defense,9,400
492,21.0,397,late_planner,defense,6,400
493,21.0,397,late_planner,defense,4,400
494,900.0,133,one_two_one,money,13,400
495,10.0,399,be_strongest,defense,5,400
496,10.0,399,be_strongest,defense,4,400
497,20.0,0,copycat,money,198,400
498,1324.0,267,two_one_two,defense,8,400
499,1330.0,267,two_one_two,defense,1,400
500,0.0,0,copycat,money,188,400
501,10.0,399,be_strongest,defense,4,400
502,49.0,393,analyst,defense,4,400
503,1330.0,267,two_one_two,defense,8,400
504,1330.0,267,two_one_two,defense,2,400
505,820.0,133,one_two_one,money,6,400
506,190.0,1,not_weakest,money,15,400
507,49.0,393,analyst,defense,8,400
508,280.0,133,one_two_one,money,8,400
509,210.0,133,one_two_one,money,7,400
510,21.0,397,late_planner,defense,6,400
511,752.0,188,random,money,5,400
512,90.0,133,one_two_one,money,31,400
513,180.0,1,not_weakest,money,34,400
514,1330.0,267,two_one_two,defense,3,400
515,1330.0,267,two_one_two,defense,3,400
516,490.0,133,one_two_one,money,8,400
517,10.0,399,be_strongest,defense,5,400
518,10.0,399,be_strongest,defense,4,400
519,1330.0,267,two_one_two,defense,7,400
520,1392.0,222,random,defense,2,400
521,1920.0,208,random,money,3,400
522,1333.616,209,random,defense,8,400
523,930.0,133,one_two_one,money,9,400
524,230.0,1,not_weakest,money,22,400
525,0.0,0,copycat,money,170,400
526,49.0,393,analyst,defense,7,400
527,329.9999999999998,196,random,money,2,400
528,1930.0,1,not_weakest,money,8,400
529,420.0,1,not_weakest,money,9,400
530,10.0,399,be_strongest,defense,1,400
531,1330.0,267,two_one_two,defense,3,400
532,21.0,397,late_planner,defense,7,400
533,49.0,393,analyst,defense,4,400
534,1330.0,267,two_one_two,defense,3,400
535,21.0,397,late_planner,defense,4,400
536,10.0,399,be_strongest,defense,3,400
537,10.0,399,be_strongest,defense,5,400
538,10.0,399,be_strongest,defense,9,400
539,0.0,0,copycat,money,137,400
540,1330.0,267,two_one_two,defense,3,400
541,230.0,133,one_two_one,money,8,400
542,49.0,393,analyst,defense,3,400
543,49.0,393,analyst,defense,5,400
544,2190.0,1,not_weakest,money,9,400
545,50.0,133,one_two_one,money,9,400
546,210.0,1,not_weakest,money,12,400
547,1660.0,133,one_two_one,money,6,400
548,10.0,399,be_strongest,defense,2,400
549,40.0,1,not_weakest,money,10,400
550,110.0,133,one_two_one,money,8,400
551,70.0,133,one_two_one,money,6,400
552,90.0,1,not_weakest,money,8,400
553,180.0,1,not_weakest,money,11,400
554,230.0,187,random,money,6,400
555,1330.0,267,two_one_two,defense,9,400
556,1868.0,212,random,defense,4,400
557,200.0,1,not_weakest,money,15,400
558,49.0,393,analyst,defense,5,400
559,21.0,397,late_planner,defense,9,400
560,1910.0,133,one_two_one,money,5,400
561,1321.0,267,two_one_two,defense,7,400
562,10.0,399,be_strongest,defense,1,400
563,0.0,0,copycat,money,135,400
564,710.0,133,one_two_one,money,7,400
565,550.0,133,one_two_one,money,9,400
566,1330.0,267,two_one_two,defense,4,400
567,49.0,393,analyst,defense,7,400
568,0.0,0,copycat,money,141,400
569,21.0,397,late_planner,defense,2,400
570,49.0,393,analyst,defense,5,400
571,21.0,397,late_planner,defense,7,400
572,10.0,399,be_strongest,defense,4,400
573,130.0,1,not_weakest,money,12,400
574,1360.0,1,not_weakest,money,8,400
575,20.0,0,copycat,money,137,400
576,1329.0,267,two_one_two,defense,10,400
577,21.0,397,late_planner,defense,9,400
578,80.0,193,random,defense,12,400
579,390.0,199,random,defense,83,400
580,950.0,1,not_weakest,money,9,400
581,0.0,1,not_weakest,money,8,400
582,49.0,393,analyst,defense,7,400
583,1220.0,133,one_two_one,money,4,400
584,100.0,1,not_weakest,money,15,400
585,690.0,133,one_two_one,money,8,400
586,1330.0,267,two_one_two,defense,6,400
587,20.0,0,copycat,money,150,400
588,770.0,133,one_two_one,money,10,400
589,49.0,393,analyst,defense,5,400
590,21.0,397,late_planner,defense,8,400
591,540.0,1,not_weakest,money,9,400
592,1330.0,267,two_one_two,defense,5,400
593,1330.0,267,two_one_two,defense,5,400
594,1060.0,1,not_weakest,money,12,400
595,1330.0,267,two_one_two,defense,2,400
596,1330.0,267,two_one_two,defense,5,400
597,200.0,1,not_weakest,money,10,400
598,21.0,397,late_planner,defense,7,400
599,1310.0,133,one_two_one,money,9,400
600,14.0,398,late_planner,defense,4,400
601,1330.0,267,two_one_two,defense,7,400
602,2060.0,194,random,defense,2,400
603,0.0,0,copycat,money,136,400
604,440.0,1,not_weakest,money,14,400
605,16.8,397,late_planner,defense,6,400
606,0.0,0,copycat,money,227,400
607,1330.0,267,two_one_two,defense,5,400
608,950.0,1,not_weakest,money,11,400
609,1001.5999999999999,200,random,money,5,400
610,10.0,399,be_strongest,defense,6,400
611,0.0,0,copycat,money,154,400
612,1330.0,267,two_one_two,defense,9,400
613,2200.0,180,random,defense,11292,400
614,750.0,1,not_weakest,money,8,400
615,21.0,397,late_planner,defense,5,400
616,0.0,0,copycat,money,134,400
617,320.0,133,one_two_one,money,8,400
618,49.0,393,analyst,defense,7,400
619,1510.0,1,not_weakest,money,8,400
620,1338.0,206,random,defense,7,400
621,10.0,399,be_strongest,defense,7,400
622,49.0,393,analyst,defense,6,400
623,10.0,399,be_strongest,defense,3,400
624,49.0,393,analyst,defense,4,400
625,780.0,204,random,defense,6,400
626,1330.0,267,two_one_two,defense,7,400
627,410.0,133,one_two_one,money,6,400
628,20.0,0,copycat,money,140,400
629,60.0,187,random,defense,8,400
630,490.0,188,random,money,995,400
631,21.0,397,late_planner,defense,2,400
632,21.0,397,late_planner,defense,5,400
633,21.0,397,late_planner,defense,5,400
634,190.0,1,copycat,money,117,400
635,10.0,399,be_strongest,defense,3,400
636,1181.75,203,random,money,6,400
637,1330.0,267,two_one_two,defense,3,400
638,0.0,0,copycat,money,154,400
639,770.0,1,not_weakest,money,17,400
640,10.0,399,be_strongest,defense,1,400
641,1270.0,201,random,defense,9,400
642,1325.2,267,two_one_two,defense,7,400
643,49.0,393,analyst,defense,4,400
644,21.0,397,late_planner,defense,7,400
645,21.0,397,late_planner,defense,5,400
646,10,399,be_strongest,defense,0,400
647,300.0,133,one_two_one,money,9,400
648,21.0,397,late_planner,defense,4,400
649,1330.0,267,two_one_two,defense,3,400
650,0.0,0,copycat,money,140,400
651,450.0,1,not_weakest,money,11,400
652,10.0,399,be_strongest,defense,3,400
653,220.0,133,one_two_one,money,9,400
654,21.0,397,late_planner,defense,6,400
655,21.0,397,late_planner,defense,7,400
656,390.0,194,random,defense,6,400
657,290.0,203,random,money,5,400
658,21.0,397,late_planner,defense,4,400
659,49.0,393,analyst,defense,6,400
660,1330.0,267,two_one_two,defense,4,400
661,1330.0,267,two_one_two,defense,7,400
662,0.0,0,copycat,money,135,400
663,0.0,0,copycat,money,177,400
664,1330.0,267,two_one_two,defense,7,400
665,49.0,393,analyst,defense,7,400
666,10.0,399,be_strongest,defense,5,400
667,10.0,399,be_strongest,defense,3,400
668,1126.0,189,random,defense,6,400
669,1537.0,204,random,money,4,400
670,920.0,133,one_two_one,money,8,400
671,22.4,396,late_planner,defense,5,400
672,230.0,133,one_two_one,money,5,400
673,1330.0,267,two_one_two,defense,9,400
674,10.0,399,be_strongest,defense,7,400
675,20.0,0,copycat,money,135,400
676,1900.0,210,random,money,3,400
677,10.0,399,be_strongest,defense,4,400
678,70.0,133,one_two_one,money,5,400
679,54.0,391,analyst,defense,4,400
680,1220.0,1,copycat,money,74,400
681,1330.0,267,two_one_two,defense,9,400
682,1330.0,267,two_one_two,defense,2,400
683,1670.0,1,not_weakest,money,7,400
684,70.0,1,not_weakest,money,9,400
685,830.0,196,random,money,9,400
686,54.0,391,analyst,defense,4,400
687,1670.0,195,random,money,2,400
688,1110.0,1,not_weakest,money,7,400
689,370.0,1,not_weakest,money,11,400
690,28.0,396,late_planner,defense,5,400
691,10.0,399,be_strongest,defense,2,400
692,20.0,0,copycat,money,137,400
693,1330.0,267,two_one_two,defense,2,400
694,10.0,399,be_strongest,defense,4,400
695,110.0,186,random,defense,15,400
696,1330.0,267,two_one_two,defense,4,400
697,0.0,187,random,defense,9,400
698,28.0,396,late_planner,defense,9,400
699,900.0,1,not_weakest,money,7,400
700,28.0,396,late_planner,defense,8,400
701,20.0,0,copycat,money,136,400
702,0.0,0,copycat,money,136,400
703,54.0,391,analyst,defense,6,400
