Bad Guy ID,Bank,Attack Level,Strategy,Last Action,Steals,Turns
98,938.5999999999999,133,attack_strong,steal,267,400
99,974.5999999999999,133,attack_rich,steal,267,400
100,7655.46936,133,att-att-res,steal,267,400
101,24551.612,210,random,steal,190,400
102,0.0,133,attack_poor,steal,267,400
103,938.0,133,attack_rich,steal,267,400
104,0.0,133,attack_poor,steal,267,400
105,24932.665,198,random,steal,202,400
106,5200.73288,200,one-one,research,200,400
107,7603.75864,133,att-att-res,steal,267,400
108,25288.6038,198,random,research,202,400
109,950.0,133,attack_strong,steal,267,400
110,0.0,133,attack_poor,steal,267,400
111,0.0,133,attack_poor,steal,267,400
112,0.0,133,attack_poor,steal,267,400
113,0.0,133,attack_poor,steal,267,400
114,0.0,133,attack_poor,steal,267,400
115,5129.0436,200,one-one,research,200,400
116,29932.458,208,random,steal,192,400
117,28173.916,200,random,research,200,400
118,1009.1600000000001,133,attack_rich,steal,267,400
119,0.0,133,attack_poor,steal,267,400
120,941.6199999999999,133,attack_rich,steal,267,400
121,5047.4344,200,one-one,research,200,400
122,4926.0466,200,one-one,research,200,400
123,0.0,133,attack_poor,steal,267,400
124,7423.003839999999,133,att-att-res,steal,267,400
125,873.22,133,attack_rich,steal,267,400
126,4836.26012,200,one-one,research,200,400
127,4776.19772,200,one-one,research,200,400
128,656.8600000000001,133,attack_strong,steal,267,400
129,4656.19012,200,one-one,research,200,400
130,620.4000000000001,133,attack_strong,steal,267,400
131,667.7800000000001,133,attack_rich,steal,267,400
132,620.9000000000001,133,attack_rich,steal,267,400
133,664.9000000000001,133,attack_strong,steal,267,400
134,7122.308,133,att-att-res,steal,267,400
135,0.0,133,attack_poor,steal,267,400
136,28098.346,206,random,steal,194,400
137,619.4000000000001,133,attack_strong,steal,267,400
138,666.36,133,attack_strong,steal,267,400
139,441.9,133,attack_strong,steal,267,400
140,6990.73024,133,att-att-res,steal,267,400
141,19401.951999999997,199,random,research,201,400
142,23473.0424,192,random,steal,208,400
143,0.0,133,attack_poor,steal,267,400
144,4392.93492,200,one-one,research,200,400
145,397.9,133,attack_rich,steal,267,400
146,397.9,133,attack_rich,steal,267,400
147,6828.4109976,133,att-att-res,steal,267,400
148,28187.085855999998,212,random,steal,188,400
149,441.55,133,attack_strong,steal,267,400
150,0.0,133,attack_poor,steal,267,400
151,6733.60296,133,att-att-res,steal,267,400
152,339.78,133,attack_strong,steal,267,400
153,24501.999232000002,184,random,steal,216,400
154,31926.860999999997,205,random,steal,195,400
155,0.0,133,attack_poor,steal,267,400
156,6690.6705600000005,133,att-att-res,steal,267,400
157,4108.03172,200,one-one,research,200,400
158,6628.83275584,133,att-att-res,steal,267,400
159,0.0,133,attack_poor,steal,267,400
160,383.74,133,attack_rich,steal,267,400
161,0.0,133,attack_poor,steal,267,400
162,441.2,133,attack_strong,steal,267,400
163,436.2,133,attack_rich,steal,267,400
164,4083.3406,200,one-one,research,200,400
165,27928.604399999997,208,random,research,192,400
166,28304.674400000004,196,random,steal,204,400
167,323.79999999999995,133,attack_strong,steal,267,400
168,4078.2748,200,one-one,research,200,400
169,314.11999999999995,133,attack_strong,steal,267,400
170,4077.95032,200,one-one,research,200,400
171,357.96,133,attack_rich,steal,267,400
172,369.23999999999995,133,attack_rich,steal,267,400
173,2.6279999999999997,133,attack_poor,steal,267,400
174,6619.7991999999995,133,att-att-res,steal,267,400
175,313.52,133,attack_strong,steal,267,400
176,42167.17,206,random,research,194,400
177,377.08,133,attack_strong,steal,267,400
178,1.0511999999999997,133,attack_poor,steal,267,400
179,432.58,133,attack_rich,steal,267,400
180,6619.60096,133,att-att-res,steal,267,400
181,388.17999999999995,133,attack_strong,steal,267,400
182,4077.01144,200,one-one,research,200,400
183,4077.01144,200,one-one,research,200,400
184,4076.98384,200,one-one,research,200,400
185,0.42047999999999985,133,attack_poor,steal,267,400
186,4076.81704,200,one-one,research,200,400
187,6618.488896,133,att-att-res,steal,267,400
188,375.38,133,attack_rich,steal,267,400
189,385.74,133,attack_rich,steal,267,400
190,6618.160712,133,att-att-res,steal,267,400
191,429.08,133,attack_rich,steal,267,400
192,0.1681919999999999,133,attack_poor,steal,267,400
193,25996.7248,214,random,research,186,400
194,6617.3096399999995,133,att-att-res,steal,267,400
195,4074.6794,200,one-one,research,200,400
196,0.06727679999999994,133,attack_poor,steal,267,400
197,4073.8712,200,one-one,research,200,400
198,4072.98096,200,one-one,research,200,400
199,28437.10856,199,random,steal,201,400
